No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,20代の転職先の選び方,本文,"マイナビで転職支援してましたが、20代の会社選びは3段階に分かれます

しんどくなる選び方
・知名度だけで決める
・年収の上限だけ見る
・受かったところに決める

無難な選び方
・業界を絞って比較する
・年間休日と残業を確認する
・複数社を並べる

いちばん結果が出る選び方は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
01,20代の転職先の選び方,リプ1,"いちばん結果が出る選び方
・自分の条件を3つに絞ってから探す
・知名度の低い優良企業も候補に入れる
・配属と評価制度まで確認する

倍率は会社の良し悪しではなく、知名度と応募数で決まるんですよね。

良い会社なのに倍率が低いのは、みんなが名前を知らないから。20代のみなさん、有名企業に群がるより、こっちのほうが内定は近いかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
02,求人票の読み込みレベル,本文,"同じ求人票でも、読める人と読めない人で結果が変わります

読めていない人
・仕事内容とタイトルしか見ない
・年収の上限だけ見る
・必須要件を飛ばす

普通の人
・必須と歓迎を分けて読む
・年間休日を確認する
・勤務地を確認する

いちばん強い人は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
02,求人票の読み込みレベル,リプ1,"いちばん強い人
・募集背景が増員か欠員かを読む
・固定残業の時間を確認する
・同じ求人がいつから出ているかを見る

求人票は、その会社の整理力がそのまま出る資料です。

書けることが多い会社ほど、社内で役割が決まっています。抽象的な求人票は、入ってから話が違うが起きやすいかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
03,エージェントの使い方,本文,"エージェント、使い方で結果がまったく変わります

損している人
・登録して待つだけ
・希望を伝えていない
・落ちた理由を聞かない

普通の人
・希望条件を伝えている
・紹介された求人を検討する
・面接対策を受ける

いちばん得している人は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
03,エージェントの使い方,リプ1,"いちばん得している人
・条件を優先順位つきで3つに絞って渡す
・見送り理由を毎回確認する
・合わなければ担当変更を依頼する

担当者は同時に何十人も見ています。何も言わなければ、通りやすい求人から順に案内されるんですよね。

担当変更は普通の依頼です。遠慮して進めるほうが損かと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
04,志望動機の深さ,本文,"志望動機、深さで3段階に分かれます

落ちる志望動機
・成長している業界だから
・理念に共感した
・風通しが良さそう

普通の志望動機
・事業内容に興味がある
・自分の経験が活かせそう
・キャリアの方向性が合う

通る志望動機は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
04,志望動機の深さ,リプ1,"通る志望動機
・前職の課題と会社のサービスがつながっている
・実際に調べた具体が入っている
・入社後にやりたいことまで言える

社名を入れ替えても成立する志望動機は、志望動機として機能していないです。

他社では言えない一言があるかどうか。ここだけかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
05,職務経歴書の完成度,本文,"職務経歴書、完成度は3段階で分かれます

通らない経歴書
・業務が時系列に並んでいるだけ
・主語がチーム
・数字がない

普通の経歴書
・担当範囲が書いてある
・使用ツールが書いてある
・実績が1つある

読まれる経歴書は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
05,職務経歴書の完成度,リプ1,"読まれる経歴書
・自分が判断した場面が書いてある
・規模が数字で書いてある
・直近の記述量がいちばん多い

読む側は、何をやったかより「何ができる人か」を探しています。

経歴を盛る必要はないです。すでにやったことが、伝わる形になっていないだけかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
06,面接準備のレベル,本文,"面接の準備、実は3段階あります

落ちる準備
・想定質問を眺めるだけ
・会社のトップページだけ見る
・逆質問を考えていない

普通の準備
・自己紹介を用意する
・志望動機を書き出す
・逆質問を2つ用意する

通る準備は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
06,面接準備のレベル,リプ1,"通る準備
・サービスを実際に使ってみる
・退職理由と志望動機をつなげておく
・面接官の立場ごとに質問を変える

準備量は、最初の3分でだいたい分かります。

調べた人にしか出てこない具体があるので、そこで差がつくんですよね。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
07,転職のタイミング,本文,"転職のタイミング、3つに分かれます

危ないタイミング
・勢いで辞めてから探す
・繁忙期の疲れがピークのとき
・比較対象がない状態

普通のタイミング
・在職中に少しずつ探す
・ボーナス後に動く
・期の区切りで動く

いちばん強いタイミングは…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
07,転職のタイミング,リプ1,"いちばん強いタイミング
・直近の実績を語れる状態
・書類と棚卸しが終わっている
・急いでいないとき

焦っていない人がいちばん良い条件を引きます。

辞めるかどうかは後で決めていいので、準備だけ先に始めておくのがおすすめかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
08,自己分析の深さ,本文,"自己分析、やり方で結果が変わります

もったいない自己分析
・性格診断の結果だけ見る
・長所と短所を考えて終わる
・やりたいことを探し続ける

普通の自己分析
・経歴を棚卸しする
・得意な業務を挙げる
・希望条件を書き出す

いちばん効く自己分析は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
08,自己分析の深さ,リプ1,"いちばん効く自己分析
・今の不満を全部書き出す
・不満を条件に言い換える
・優先順位を3つに絞る

やりたいことは、探しても出てこないことが多いです。

それより、避けたいことを言語化するほうが早い。そこから条件は自然に決まるかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
09,情報収集の質,本文,"会社を調べるとき、情報源で判断精度が変わります

浅い情報収集
・口コミサイトだけ見る
・SNSの評判を鵜呑みにする
・知名度で判断する

普通の情報収集
・採用ページを読む
・事業内容を調べる
・求人票を読み込む

深い情報収集は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
09,情報収集の質,リプ1,"深い情報収集
・募集背景と求人の出し直し回数を見る
・社員の発信を追う
・面接で数字を聞く

口コミは書いた人の立場と時期で変わります。参考にはなりますが、判断材料にはしにくい。

いちばん確かなのは、面接で自分が聞いた答えかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
10,内定後の意思決定,本文,"内定が出てからの決め方、3段階あります

後悔する決め方
・金額だけで比較する
・期限に押されて即決する
・迷ったまま承諾する

普通の決め方
・条件を並べて比較する
・家族に相談する
・数日考える

後悔しない決め方は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
10,内定後の意思決定,リプ1,"後悔しない決め方
・配属と評価制度まで確認する
・現場の人と話してから決める
・聞いた条件を書面でもらう

迷うときは、気持ちではなく情報の量で決めてください。

分からないことが多いまま決めると、入社後のギャップも大きくなるかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
01,転職理由,本文,"マイナビで転職支援してましたが、この質問でつまずく人が本当に多いです。

面接官
「転職を考えた理由を教えてください」

お見送りの人1
「人間関係が合わなくて」
→ 他責に聞こえる。うちでも同じと思われる。

お見送りの人2
「残業が多くて体力的に厳しくて」
→ 環境の話だけ。何がしたいかが出てこない。

お見送りの人3
「評価されなかったからです」
→ 基準を確認していない人と見られる。

お見送りの人4
「スキルアップしたくて」
→ 抽象的すぎて志望動機につながらない。

内定とる人
「現職では既存顧客の対応を中心に担当してきました。継続率を上げる工夫を続ける中で、提案の設計から関わりたい気持ちが強くなりました。現職では担当範囲が決まっているため機会が限られます。御社は入社後すぐに提案から任せていただける環境だとうかがい、志望しました」",2026-09-23,nori,NG連打→OK提示型,draft,,,,,,,
02,志望動機,本文,"志望動機、調べた内容をそのまま話すと逆効果です。

面接官
「なぜ当社を志望されたのですか」

お見送りの人1
「成長している業界だからです」
→ 業界の話。会社の話になっていない。

お見送りの人2
「理念に共感しました」
→ 誰でも言える。調べた証拠にならない。

お見送りの人3
「風通しの良さに惹かれました」
→ 社風は入社前に分からないはず。

お見送りの人4
「福利厚生が充実しているので」
→ 条件が目的だと受け取られる。

内定とる人
「前職で紙とExcelでの管理に限界を感じていました。御社のサービスを実際に使ってみたところ、まさにその工程が消える設計になっていて、自分が困っていた側だからこそ伝えられると感じています。導入後の運用まで一緒に考える姿勢にも共感し、志望しました」",2026-09-23,nori,NG連打→OK提示型,draft,,,,,,,
